@relation PC1

@attribute ACTION numeric
@attribute CONDITIONAL numeric
@attribute CONTINUANCE numeric
@attribute IMPERATIVE numeric
@attribute INCOMPLETE numeric
@attribute OPTION numeric
@attribute RISK_LEVEL numeric
@attribute SOURCE numeric
@attribute WEAK_PHRASE numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute PATHOLOGICAL_COMPLEXITY numeric
@attribute defects {false,true}

@data
1,1,0,1,0,0,2,2,0,19,5,34,10,16,2.13,2,0.2,41,5,0.44,0.5,9,17,33,1,false
2,1,1,1,0,0,2,4,0,13,8,18,7,8,2.25,4,0.57,38,3,0.33,0.43,5,9,33,1,true
3,0,2,2,0,0,4,4,0,39,20,56,22,24,2.33,17,0.77,98,5,0.19,0.23,16,28,78,1,false
3,0,1,2,0,0,4,6,0,15,5,8,11,4,2,7,0.64,32,1,0,0.09,2,4,23,1,false
3,0,1,2,0,0,4,5,0,40,5,44,25,20,2.2,13,0.52,91,6,0.21,0.24,12,22,68,1,true
1,0,0,0,0,0,1,2,0,11,3,20,6,10,2,3,0.5,24,3,0.4,0.5,5,10,20,1,false
25,1,1,3,0,1,26,32,0,236,15,384,136,188,2.04,123,0.9,581,123,0.9,0.9,98,192,447,1,true
1,0,0,1,0,0,1,1,0,5,7,0,4,0,?,4,1,13,1,0,0.25,0,0,11,1,false
2,0,1,1,0,0,2,2,0,9,1,16,5,8,2,1,0.2,22,1,0,0.2,4,8,19,1,false
1,0,0,1,0,0,1,2,0,17,3,28,9,14,2,3,0.33,47,1,0,0.11,7,14,40,1,true
3,1,1,0,0,0,2,3,0,40,7,40,25,16,2.5,14,0.56,81,7,0.25,0.28,12,22,58,1,true
2,1,0,0,0,0,1,1,0,24,12,20,17,10,2,12,0.71,56,4,0.19,0.24,5,10,41,1,true
2,1,0,1,0,0,3,3,0,36,19,40,24,20,2,18,0.75,93,9,0.35,0.38,10,20,71,1,true
1,0,0,0,0,0,2,6,0,12,2,16,7,8,2,3,0.43,25,1,0,0.14,4,8,20,1,false
2,0,1,1,0,0,2,2,0,51,6,100,26,50,2,23,0.88,122,1,0,0.04,25,50,98,1,true
1,0,0,1,0,0,1,1,0,5,2,8,3,4,2,3,1,10,1,0,0.33,2,4,9,1,false
1,0,0,1,0,0,1,1,0,11,7,18,6,8,2.25,6,1,26,6,1,1,5,9,22,1,false
1,0,0,1,0,0,1,1,0,5,4,8,3,4,2,3,1,14,1,0,0.33,2,4,13,1,false
2,0,0,1,0,0,1,1,0,7,2,12,4,6,2,4,1,14,1,0,0.25,3,6,12,1,false
24,0,6,20,0,0,25,26,0,22,18,4,20,2,2,19,0.95,45,1,0,0.05,1,2,27,1,false
